no,romaji,kana,kanji,meaning_mm
363,izakaya,いざかや,居酒屋,အရက်ဆိုင်
364,isasaka,いささか,,အနည်းငယ်
365,isamashii,いさましい,勇ましい,ရဲရင့်သော
366,isan,いさん,遺産,အမွေအနှစ်
367,ishi,いし,石,ကျောက်ခဲ
368,ishi,いし,医師,ဆရာဝန်
369,ishi,いし,意思／意志,စိတ်ဆန္ဒ
370,iji,いじ,意地,ဇွတ်တရွတ်စိတ်
371,iji (suru),いじ　（する）,維持（する）,ထိန်းသိမ်းရေး
372,ishiki,いしき,意識,အသိစိတ်
373,ijippari(na),いじっぱり（な）,意地っ張り（な）,စိတ်အားထက်သန်သော၊အလျှော့မပေးသော၊ပြိုင်ဆိုင်စိတ်များသော
374,ijimeru,いじめる,苛める,အနိုင်ကျင့်သည်
375,isha,いしゃ,医者,ဆရာဝန်
376,ijū(suru),いじゅう（する）,移住（する）,ပြောင်းရွှေ့နေထိုင်ခြင်း
377,ishō,いしょう,衣装,အဝတ်အစား
378,ijyou(na),いじょう（な）,以上　（な）,အထက်
379,ijyou(na),いじょう（な）,異常（な）,ထူးကဲသော၊ ပုံမှန်မဟုတ်သော၊ မူမမှန်သော
380,ishokujū,いしょくじゅう,衣食住,နေထိုင်စားသောက်မှု၊ စားဝတ်နေရေး
381,ijiru,いじる,,ကိုင်ကြည့်သည်၊ စမ်းကြည့်သည် ၊ လက်ဆော့သည်၊ ဝါသနာနှင့်ကိုင်တွယ်သည်
382,ijiwaru(na),いじわる（な）,意地悪（な）,ကတ်သီးကတ်သတ်လုပ်ခြင်း၊စိတ်ပုတ်သော
383,ijin,いじん,偉人,မွန်မြတ်သောလူ
384,isu,いす,椅子,ကုလားထိုင်
385,izumi,いずみ,泉,စမ်းရေ ၊ ဇစ်မြစ်
386,izure,いずれ,,တနေ့နေ့မှာ၊ တချိန်ချိန်မှာ ၊ ဘယ်ဟာပဲဖြစ်ဖြစ် ၊ ဘယ်လိုပဲဖြစ်ဖြစ်
387,izureniseyo,いずれにせよ,,ဘယ်လိုဘဲဖြစ်ဖြစ်
388,isei,いせい,異性,ဆန့်ကျင်ဘက်လိင်
389,iseki,いせき,遺跡,ရှေးဟောင်းအမွေအနှစ်
390,izen,いぜん,以前,အရင်က ၊ အရင်တုန်းက ၊ –မတိုင်မီအချိန်က
391,izen,いぜん,依然,အရင်အတိုင်း
392,isogashii,いそがしい,忙しい,အလုပ်များသော
393,isogu,いそぐ,急ぐ,အလျင်စလိုလုပ်သည်၊လောသည်
394,izon(suru),いぞん（する）,依存（する）,မှီခိုအားကိုးခြင်း
395,ita,いた,板,သစ်သားပြား
396,itai,いたい,痛い,နာကျင်သော
397,idai (na),いだい　（な）,偉大（な）,ကြီးမြတ်သော ၊ မြင့်မြတ်သော
398,idaku,いだく,抱く,ပွေ့ပိုက်သည် ၊ ဆန္ဒကိုပွေ့ပိုက်သည်
399,itaku(suru),いたく（する）,委託（する）,သူတပါးအားတာဝန်လွှဲအပ်တောင်းဆိုခြင်း
400,itasu,いたす,,ပြုလုပ်သည်
401,itazura(suru),いたずら（する）,,နောက်ပြောင်မှု
402,itadaki,いただき,頂,တောင်ထိပ်
403,itadakimasu,いただきます,,စားပါတော့မယ်
404,itadaku,いただく,頂く,လက်ခံရရှိသည်
405,itatte,いたって,,အင်မတန်၊တအား၊အရမ်း
406,itabasami,いたばさみ,板ばさみ,ကြားညှပ်ခံခြင်း
407,itami,いたみ,痛み,နာကျင်မှု ၊ ဝေဒနာ ၊ စိတ်သောက
408,itamidome,いたみどめ,痛み止め,အကိုက်အခဲပျောက်ခြင်း
409,itamu,いたむ,痛む,နာကျင်သည် ၊ ဒုက္ခခံရသည် ၊ စိတ်သောကရောက်သည်
410,itameru,いためる,傷める,ဒဏ်ရာရသည် ၊ ပုပ်စေသည်။
411,itameru,いためる,炒める,ကြော်သည်၊ဆီနည်းနည်းနှင့်ကြော်သည်
412,itaru,いたる,至る,သွားရောက်သည် ၊ ဒီအခြေအနေကိုရောက်လာသည် ၊ အချိန်ရောက်သည်
413,itawaru,いたわる,労わる,ကိုယ်ချင်းစာသည် ၊ နှစ်သိမ့်သည် ၊ ဂရုစိုက်ပေးသည်၊ စာနာထောက်ထားသည်
414,ichi,いち,市,ဈေး
415,ichi,いち,一,တစ်
416,ichi (suru),いち（する）,位置（する）,တည်နေရာ၊နေရာယူသည်
417,ichiichi,いちいち,,ထပ်ခါတလဲလဲ၊ထပ်ထပ်ပြီး၊ တစ်ခုဖြစ်တိုင်း
418,ichiō,いちおう,一応,လောလောဆယ်
419,ichigaini,いちがいに,一概に,တစ်ခုလုံးအားဖြင့်
420,ichiguu,いちぐう,一隅,ထောင့်စွန်း
421,ichigo,いちご,苺,စတော်ဗယ်ရီသီး
422,ichiji,いちじ,一時,တစ်ချိန်တုန်းက
423,ichijirushii,いちじるしい,著しい,ထူးကဲသော၊ထင်ရှားပေါ်လွင်သော
424,ichidanto,いちだんと,一段と,တစ်ဆင့်ထဲထက်ပိုပြီး
425,ichido,いちど,一度,တစ်ကြိမ်
426,ichidou,いちどう,一同,တို့တတွေအားလုံး
427,ichidoni,いちどに,一度に,တစ်ကြိမ်တည်းနှင့်
428,ichinichi,いちにち,一日,တစ်ရက်
429,ichiba,いちば,市場,ဈေး
430,ichiban,いちばん,一番,နံပါတ်တစ်
431,ichibu,いちぶ,一部,တစိတ်တပိုင်း
432,ichibubun,いちぶぶん,一部分,တစိတ်တပိုင်း
433,ichimen,いちめん,一面,တပြင်လုံး
434,ichimoku,いちもく,一目,ခဏကြည့်ခြင်း
435,ichiyaku,いちやく,一躍,ရုတ်တရက်(ကောင်းလာခြင်း၊ကျော်ကြားလာခြင်း)
436,ichiyazuke,いちやづけ,一夜漬け,တစ်ညစိမ်ထားသောချဥ်ဖတ်၊စာမေးပွဲမတိုင်မီညဘက်တစ်ညလုံးစာကျက်ခြင်း
437,ichou,いちょう,胃腸,အစာအိမ်အူလမ်းကြောင်း
438,ichiyōni,いちように,一様に,တပုံစံတည်း
439,ichiranhyou,いちらんひょう,一覧表,အနှစ်ချုပ်ဇယား
440,ichiritsu(ni),いちりつ（に）,一律（に）,တပုံစံတည်း
441,ichiryū,いちりゅう,一流,ပထမတန်းစား
442,ichirenno,いちれんの,一連の,တဆက်တည်း
443,itsu,いつ,,ဘယ်တော့၊ဘယ်တုန်းက
444,itsuka,いつか,,တနေ့နေ့မှာ
445,itsuka,いつか,五日,ငါးရက်
446,ikka,いっか,一家,မိသားစု၊တအိမ်လုံး
447,ikkatsu(suru),いっかつ（する）,一括　（する）,တစုတစည်းလုပ်ခြင်း
448,ikkan,いっかん,一貫,အစမှအဆုံး
449,ikkan,いっかん,一環,တစိတ်တပိုင်း
450,ikkini,いっきに,一気に,တချက်တည်း၊တပြိုင်တည်း
451,ikkyoni,いっきょに,一挙に,တပြိုင်တည်း
452,ikken(suru),いっけん（する）,一見（する）,လျှပ်တပြက်ကြည့်ခြင်း
453,ikkōni,いっこうに,一向に,လုံးဝ… ဘူး
454,ikkodate,いっこだて,一戸建て,လုံးချင်းအိမ်
455,issai,いっさい,一切,အကုန်လုံး၊လုံးဝ
456,issakujitsu,いっさくじつ,一昨日,တမြန်နေ့က
457,issakunen,いっさくねん,一昨年,တမြန်နှစ်က
458,isshyu,いっしゅ,一種,တမျိုး ၊ အမျိုးအစား
459,isshun,いっしゅん,一瞬,လျှပ်တစ်ပြက်အတွင်း ၊ လျှပ်တစ်ပြက်အချိန်
460,issho(ni),いっしょ（に）,一緒（に）,အတူတကွ
461,isshō,いっしょう,一生,ရာသက်ပန် ၊ တစ်ဘဝလုံး ၊ တသက်လုံး၊ တသက်တာ
462,isshyoukenmei,いっしょうけんめい,一生懸命,ကြိုးကြိုးစားစား၊အင်တိုက်အားတိုက်
463,isshinni,いっしんに,一心に,အာရုံစိုက်ပြီး
464,isseini,いっせいに,一斉に,ပြိုင်တူ ၊ တချိန်တည်းမှာ၊ တပြိုင်တည်း
465,isso,いっそ,,ပို၍ ၊ စိတ်ပိုင်းဖြတ်သည်၊ ပြောင်းပြန်အားဖြင့်
466,issō,いっそう,一層,ပို၍ ၊ အရင်ကထက်ပို၍၊ တဆင့်ပို၍
467,issonokoto,いっそのこと,,မထူးတဲ့အဆုံးတော့၊အရဲစွန့်ပြီး
468,ittai,いったい,一体,တကိုယ်တည်း ၊ ယေဘုယျအားဖြင့် ၊ ဘုရားတစ်ဆူ(ဘုရားရုပ်တုကိုရေတွက်ရာတွင်သုံးသည်)
469,ittai,いったい,一帯,တလျှောက်လုံး
470,ittai,いったい,一体,ဘာကြောင့်များ
471,ittan,いったん,一旦,တစ်ကြိမ် ၊ တစ်ခါ
472,icchi(suru),いっち（する）,一致（する）,တထပ်တည်း ၊ ကိုက်ညီခြင်း ၊ ထပ်တူကျသည်
473,itsutsu,いつつ,五つ,ငါးခု
474,ittei,いってい,一定,တသမတ်တည်း
475,itteirasshai,いっていらっしゃい,,ကောင်းကောင်းသွားပါ
476,ittemairimasu,いってまいります,,သွားပါဦးမယ်
477,itsudemo,いつでも,,ဘယ်အချိန်ဘဲဖြစ်ဖြစ်၊ အချိန်မရွေး
478,ittoki,いっとき,一時,ခဏတဖြုတ်၊ တချိန်တုန်းက
479,itsuninaku,いつになく,何時に無く,ခါတိုင်းနှင့် မတူဘဲ ၊ ချွင်းခြက်အားဖြင့်
480,itsunomanika,いつのまにか,,မထင်မှတ်တဲ့အချိန်အတောအတွင်း
481,ippai,いっぱい,一杯,များပြားစွာ၊အပြည့်
482,ippan,いっぱん,一般,သာမန်
483,ippanteki(na),いっぱんてき（な）,一般的（な）,သာမန်ဖြစ်သော၊ ယေဘုယျအားဖြင့်
484,ippuu,いっぷう,一風,တခြားအရာနှင့် မတူဘဲ
485,ippen(suru),いっぺん（する）,一変（する）,ရုတ်တရက်ပြောင်းလဲမှု
